v_air,rh,t_monthly,season,optimal_t_set,pmv_hat
0.0,40.0,10.0,Summer,25.0,-0.029878687113523483
0.0,40.0,10.0,Winter,26.5,-0.08000476658344269
0.0,40.0,10.0,Spring,26.0,0.0017414428293704987
0.0,40.0,10.0,Autumn,25.5,-0.0017588213086128235
0.0,40.0,15.0,Summer,25.0,0.006949145346879959
0.0,40.0,15.0,Winter,26.0,0.00695023313164711
0.0,40.0,15.0,Spring,25.0,-0.0038165077567100525
0.0,40.0,15.0,Autumn,25.5,0.04295220971107483
0.0,40.0,20.0,Summer,25.0,0.060810722410678864
0.0,40.0,20.0,Winter,25.5,0.03041697107255459
0.0,40.0,20.0,Spring,25.0,0.05214551463723183
0.0,40.0,20.0,Autumn,25.0,-0.03717224672436714
0.0,40.0,25.0,Summer,25.0,0.08611270785331726
0.0,40.0,25.0,Winter,25.5,0.08008316904306412
0.0,40.0,25.0,Spring,25.0,0.033803995698690414
0.0,40.0,25.0,Autumn,25.0,0.04971284419298172
0.0,40.0,30.0,Summer,24.5,-0.11053888499736786
0.0,40.0,30.0,Winter,25.0,0.006562601774930954
0.0,40.0,30.0,Spring,25.0,0.09394019842147827
0.0,40.0,30.0,Autumn,24.5,-0.040580298751592636
0.0,40.0,35.0,Summer,24.5,-0.06146108731627464
0.0,40.0,35.0,Winter,25.0,0.08520104736089706
0.0,40.0,35.0,Spring,24.5,-0.04162973538041115
0.0,40.0,35.0,Autumn,24.5,0.007152646780014038
0.0,40.0,40.0,Summer,24.5,-0.024493005126714706
0.0,40.0,40.0,Winter,24.5,0.01530759409070015
0.0,40.0,40.0,Spring,24.5,-0.04413635656237602
0.0,40.0,40.0,Autumn,24.5,0.06769347190856934
0.0,40.0,45.0,Summer,24.5,0.05401182919740677
0.0,40.0,45.0,Winter,24.5,0.03062608651816845
0.0,40.0,45.0,Spring,24.5,-0.04449800029397011
0.0,40.0,45.0,Autumn,24.5,0.08065718412399292
0.0,45.0,10.0,Summer,25.0,0.027568183839321136
0.0,45.0,10.0,Winter,27.0,0.07729607820510864
0.0,45.0,10.0,Spring,26.5,0.003999888896942139
0.0,45.0,10.0,Autumn,25.5,0.03902073949575424
0.0,45.0,15.0,Summer,25.0,0.03437013551592827
0.0,45.0,15.0,Winter,26.0,0.011053845286369324
0.0,45.0,15.0,Spring,25.0,-0.009206414222717285
0.0,45.0,15.0,Autumn,25.5,0.04350649565458298
0.0,45.0,20.0,Summer,25.0,0.053791593760252
0.0,45.0,20.0,Winter,25.5,0.03101254254579544
0.0,45.0,20.0,Spring,24.5,-0.030502405017614365
0.0,45.0,20.0,Autumn,25.0,-0.019503917545080185
0.0,45.0,25.0,Summer,25.0,0.08431705832481384
0.0,45.0,25.0,Winter,25.0,-0.04408043250441551
0.0,45.0,25.0,Spring,24.5,-0.06777195632457733
0.0,45.0,25.0,Autumn,25.0,0.05562324449419975
0.0,45.0,30.0,Summer,24.5,-0.09476621448993683
0.0,45.0,30.0,Winter,25.0,0.029521604999899864
0.0,45.0,30.0,Spring,25.0,0.057851336896419525
0.0,45.0,30.0,Autumn,24.5,-0.05234971269965172
0.0,45.0,35.0,Summer,24.5,-0.04986041411757469
0.0,45.0,35.0,Winter,24.5,-0.07777038216590881
0.0,45.0,35.0,Spring,24.5,-0.0773562490940094
0.0,45.0,35.0,Autumn,24.5,0.028870688751339912
0.0,45.0,40.0,Summer,24.5,0.02261236123740673
0.0,45.0,40.0,Winter,24.5,-0.026409167796373367
0.0,45.0,40.0,Spring,24.5,-0.023938145488500595
0.0,45.0,40.0,Autumn,24.0,-0.057177674025297165
0.0,45.0,45.0,Summer,24.5,0.10060249269008636
0.0,45.0,45.0,Winter,24.5,0.06018921732902527
0.0,45.0,45.0,Spring,24.5,-0.022636543959379196
0.0,45.0,45.0,Autumn,24.0,-0.030773255974054337
0.0,50.0,10.0,Summer,25.0,0.02517794817686081
0.0,50.0,10.0,Winter,26.5,-0.09880897402763367
0.0,50.0,10.0,Spring,26.0,-0.046617817133665085
0.0,50.0,10.0,Autumn,25.0,-0.055832285434007645
0.0,50.0,15.0,Summer,25.0,0.04253917932510376
0.0,50.0,15.0,Winter,25.5,0.006581056863069534
0.0,50.0,15.0,Spring,25.0,-0.028128284960985184
0.0,50.0,15.0,Autumn,25.0,-0.011807482689619064
0.0,50.0,20.0,Summer,25.0,0.053527794778347015
0.0,50.0,20.0,Winter,25.0,-0.011165190488100052
0.0,50.0,20.0,Spring,24.5,0.011777427047491074
0.0,50.0,20.0,Autumn,25.0,0.020849987864494324
0.0,50.0,25.0,Summer,24.5,-0.07100184261798859
0.0,50.0,25.0,Winter,25.0,0.010994784533977509
0.0,50.0,25.0,Spring,24.5,0.0048768408596515656
0.0,50.0,25.0,Autumn,25.0,0.06658873707056046
0.0,50.0,30.0,Summer,24.5,-0.043856944888830185
0.0,50.0,30.0,Winter,25.0,0.06843467056751251
0.0,50.0,30.0,Spring,24.5,-0.04364670440554619
0.0,50.0,30.0,Autumn,24.5,-0.024837490171194077
0.0,50.0,35.0,Summer,24.5,0.006592884659767151
0.0,50.0,35.0,Winter,24.5,-0.021062735468149185
0.0,50.0,35.0,Spring,25.0,0.062574103474617
0.0,50.0,35.0,Autumn,24.5,0.06324321031570435
0.0,50.0,40.0,Summer,24.5,0.06047343462705612
0.0,50.0,40.0,Winter,24.5,-0.0036452561616897583
0.0,50.0,40.0,Spring,24.5,-0.029938366264104843
0.0,50.0,40.0,Autumn,24.0,-0.0202401764690876
0.0,50.0,45.0,Summer,24.0,-0.07895527780056
0.0,50.0,45.0,Winter,24.5,0.027592556551098824
0.0,50.0,45.0,Spring,24.5,0.03807979077100754
0.0,50.0,45.0,Autumn,24.0,0.012893512845039368
0.0,55.0,10.0,Summer,25.0,0.04142678529024124
0.0,55.0,10.0,Winter,26.5,-0.004823002964258194
0.0,55.0,10.0,Spring,26.0,0.04178201034665108
0.0,55.0,10.0,Autumn,25.0,-0.01869547739624977
0.0,55.0,15.0,Summer,25.0,0.0713600143790245
0.0,55.0,15.0,Winter,25.0,0.004600547254085541
0.0,55.0,15.0,Spring,25.0,0.022719960659742355
0.0,55.0,15.0,Autumn,25.0,0.05215248093008995
0.0,55.0,20.0,Summer,24.5,-0.049849916249513626
0.0,55.0,20.0,Winter,24.5,-0.05649976804852486
0.0,55.0,20.0,Spring,24.5,0.05435757339000702
0.0,55.0,20.0,Autumn,24.5,-0.03506557270884514
0.0,55.0,25.0,Summer,24.5,-0.028502795845270157
0.0,55.0,25.0,Winter,24.5,0.034333229064941406
0.0,55.0,25.0,Spring,24.0,-0.04095875099301338
0.0,55.0,25.0,Autumn,24.5,-0.028936680406332016
0.0,55.0,30.0,Summer,24.5,0.010750487446784973
0.0,55.0,30.0,Winter,24.5,0.02741796337068081
0.0,55.0,30.0,Spring,24.5,0.013314209878444672
0.0,55.0,30.0,Autumn,24.5,0.03189607709646225
0.0,55.0,35.0,Summer,24.5,0.044198743999004364
0.0,55.0,35.0,Winter,24.5,0.019357090815901756
0.0,55.0,35.0,Spring,24.5,-0.002255696803331375
0.0,55.0,35.0,Autumn,24.0,-0.06835813820362091
0.0,55.0,40.0,Summer,24.0,-0.09049157798290253
0.0,55.0,40.0,Winter,24.5,0.025601893663406372
0.0,55.0,40.0,Spring,24.5,-0.029280904680490494
0.0,55.0,40.0,Autumn,24.0,-0.008899230509996414
0.0,55.0,45.0,Summer,24.0,-0.037995923310518265
0.0,55.0,45.0,Winter,24.5,0.054640792310237885
0.0,55.0,45.0,Spring,24.0,-0.06777751445770264
0.0,55.0,45.0,Autumn,24.0,0.039930205792188644
0.0,60.0,10.0,Summer,25.0,0.0744105726480484
0.0,60.0,10.0,Winter,26.0,0.014761380851268768
0.0,60.0,10.0,Spring,25.5,0.03608223795890808
0.0,60.0,10.0,Autumn,25.0,0.054126396775245667
0.0,60.0,15.0,Summer,24.5,-0.049542855471372604
0.0,60.0,15.0,Winter,25.0,0.014083873480558395
0.0,60.0,15.0,Spring,24.5,-0.04812173172831535
0.0,60.0,15.0,Autumn,24.5,-0.021049264818429947
0.0,60.0,20.0,Summer,24.5,-0.026131007820367813
0.0,60.0,20.0,Winter,24.5,0.024279333651065826
0.0,60.0,20.0,Spring,24.0,-0.03162010386586189
0.0,60.0,20.0,Autumn,24.5,0.02739228494465351
0.0,60.0,25.0,Summer,24.5,0.00892309844493866
0.0,60.0,25.0,Winter,24.0,-0.030441995710134506
0.0,60.0,25.0,Spring,24.0,0.013151224702596664
0.0,60.0,25.0,Autumn,24.5,0.05192597582936287
0.0,60.0,30.0,Summer,24.5,0.030521631240844727
0.0,60.0,30.0,Winter,24.0,-0.014591064304113388
0.0,60.0,30.0,Spring,24.0,-0.023853350430727005
0.0,60.0,30.0,Autumn,24.0,-0.05723525211215019
0.0,60.0,35.0,Summer,24.5,0.07813391089439392
0.0,60.0,35.0,Winter,24.0,-0.050162266939878464
0.0,60.0,35.0,Spring,24.0,-0.04790164902806282
0.0,60.0,35.0,Autumn,24.0,-0.032978836447000504
0.0,60.0,40.0,Summer,24.0,-0.050108928233385086
0.0,60.0,40.0,Winter,24.0,-0.03894885256886482
0.0,60.0,40.0,Spring,24.5,0.06299224495887756
0.0,60.0,40.0,Autumn,24.0,-0.015997763723134995
0.0,60.0,45.0,Summer,24.0,-0.00437290221452713
0.0,60.0,45.0,Winter,24.0,-0.00717293843626976
0.0,60.0,45.0,Spring,24.0,-0.03861569985747337
0.0,60.0,45.0,Autumn,24.0,0.04894363507628441
0.5,40.0,10.0,Summer,27.0,0.042460378259420395
0.5,40.0,10.0,Winter,27.0,-0.27422720193862915
0.5,40.0,10.0,Spring,27.0,-0.4705265462398529
0.5,40.0,10.0,Autumn,27.0,-0.041659269481897354
0.5,40.0,15.0,Summer,27.0,0.10997803509235382
0.5,40.0,15.0,Winter,27.0,-0.08666445314884186
0.5,40.0,15.0,Spring,27.0,-0.13081125915050507
0.5,40.0,15.0,Autumn,27.0,0.06818635761737823
0.5,40.0,20.0,Summer,26.5,-0.036158304661512375
0.5,40.0,20.0,Winter,27.0,0.009957090020179749
0.5,40.0,20.0,Spring,27.0,0.04218381270766258
0.5,40.0,20.0,Autumn,26.5,-0.1154148131608963
0.5,40.0,25.0,Summer,26.5,0.0064042359590530396
0.5,40.0,25.0,Winter,26.5,-0.050359610468149185
0.5,40.0,25.0,Spring,26.5,-0.027794841676950455
0.5,40.0,25.0,Autumn,26.5,0.008694812655448914
0.5,40.0,30.0,Summer,26.5,0.114222452044487
0.5,40.0,30.0,Winter,26.0,-0.041056450456380844
0.5,40.0,30.0,Spring,26.5,0.025291018187999725
0.5,40.0,30.0,Autumn,26.0,-0.09570105373859406
0.5,40.0,35.0,Summer,26.0,-0.03126208111643791
0.5,40.0,35.0,Winter,26.0,0.009711384773254395
0.5,40.0,35.0,Spring,26.0,-0.04300695285201073
0.5,40.0,35.0,Autumn,26.0,-0.04090229794383049
0.5,40.0,40.0,Summer,26.0,0.11284603178501129
0.5,40.0,40.0,Winter,25.5,-0.06805974245071411
0.5,40.0,40.0,Spring,26.0,0.026648249477148056
0.5,40.0,40.0,Autumn,26.0,-0.0004055537283420563
0.5,40.0,45.0,Summer,25.5,-0.0010035932064056396
0.5,40.0,45.0,Winter,25.5,0.00937996432185173
0.5,40.0,45.0,Spring,25.5,-0.08453409373760223
